x phi(x)
0.000000 0.000000
0.002000 0.044413
0.004000 0.088782
0.006000 0.133063
0.008000 0.177213
0.010000 0.221188
0.012000 0.264945
0.014000 0.308440
0.016000 0.351631
0.018000 0.394475
0.020000 0.436929
0.022000 0.478953
0.024000 0.520503
0.026000 0.561540
0.028000 0.602023
0.030000 0.641912
0.032000 0.681167
0.034000 0.719750
0.036000 0.757623
0.038000 0.794748
0.040000 0.831089
0.042000 0.866609
0.044000 0.901275
0.046000 0.935050
0.048000 0.967903
0.050000 0.999801
0.052000 1.030712
0.054000 1.060606
0.056000 1.089454
0.058000 1.117226
0.060000 1.143895
0.062000 1.169436
0.064000 1.193823
0.066000 1.217031
0.068000 1.239039
0.070000 1.259823
0.072000 1.279364
0.074000 1.297643
0.076000 1.314641
0.078000 1.330342
0.080000 1.344730
0.082000 1.357790
0.084000 1.369511
0.086000 1.379880
0.088000 1.388888
0.090000 1.396525
0.092000 1.402783
0.094000 1.407657
0.096000 1.411142
0.098000 1.413235
0.100000 1.413933
0.102000 1.413235
0.104000 1.411142
0.106000 1.407657
0.108000 1.402783
0.110000 1.396525
0.112000 1.388888
0.114000 1.379880
0.116000 1.369511
0.118000 1.357790
0.120000 1.344730
0.122000 1.330342
0.124000 1.314641
0.126000 1.297643
0.128000 1.279364
0.130000 1.259823
0.132000 1.239039
0.134000 1.217031
0.136000 1.193823
0.138000 1.169436
0.140000 1.143895
0.142000 1.117226
0.144000 1.089454
0.146000 1.060606
0.148000 1.030712
0.150000 0.999801
0.152000 0.967903
0.154000 0.935050
0.156000 0.901275
0.158000 0.866609
0.160000 0.831089
0.162000 0.794748
0.164000 0.757623
0.166000 0.719750
0.168000 0.681167
0.170000 0.641912
0.172000 0.602023
0.174000 0.561540
0.176000 0.520503
0.178000 0.478953
0.180000 0.436929
0.182000 0.394475
0.184000 0.351631
0.186000 0.308440
0.188000 0.264945
0.190000 0.221188
0.192000 0.177213
0.194000 0.133063
0.196000 0.088782
0.198000 0.044413
0.200000 0.000000
0.202000 -0.044413
0.204000 -0.088782
0.206000 -0.133063
0.208000 -0.177213
0.210000 -0.221188
0.212000 -0.264945
0.214000 -0.308440
0.216000 -0.351631
0.218000 -0.394475
0.220000 -0.436929
0.222000 -0.478953
0.224000 -0.520503
0.226000 -0.561540
0.228000 -0.602023
0.230000 -0.641912
0.232000 -0.681167
0.234000 -0.719750
0.236000 -0.757623
0.238000 -0.794748
0.240000 -0.831089
0.242000 -0.866609
0.244000 -0.901275
0.246000 -0.935050
0.248000 -0.967903
0.250000 -0.999801
0.252000 -1.030712
0.254000 -1.060606
0.256000 -1.089454
0.258000 -1.117226
0.260000 -1.143895
0.262000 -1.169436
0.264000 -1.193823
0.266000 -1.217031
0.268000 -1.239039
0.270000 -1.259823
0.272000 -1.279364
0.274000 -1.297643
0.276000 -1.314641
0.278000 -1.330342
0.280000 -1.344730
0.282000 -1.357790
0.284000 -1.369511
0.286000 -1.379880
0.288000 -1.388888
0.290000 -1.396525
0.292000 -1.402783
0.294000 -1.407657
0.296000 -1.411142
0.298000 -1.413235
0.300000 -1.413933
0.302000 -1.413235
0.304000 -1.411142
0.306000 -1.407657
0.308000 -1.402783
0.310000 -1.396525
0.312000 -1.388888
0.314000 -1.379880
0.316000 -1.369511
0.318000 -1.357790
0.320000 -1.344730
0.322000 -1.330342
0.324000 -1.314641
0.326000 -1.297643
0.328000 -1.279364
0.330000 -1.259823
0.332000 -1.239039
0.334000 -1.217031
0.336000 -1.193823
0.338000 -1.169436
0.340000 -1.143895
0.342000 -1.117226
0.344000 -1.089454
0.346000 -1.060606
0.348000 -1.030712
0.350000 -0.999801
0.352000 -0.967903
0.354000 -0.935050
0.356000 -0.901275
0.358000 -0.866609
0.360000 -0.831089
0.362000 -0.794748
0.364000 -0.757623
0.366000 -0.719750
0.368000 -0.681167
0.370000 -0.641912
0.372000 -0.602023
0.374000 -0.561540
0.376000 -0.520503
0.378000 -0.478953
0.380000 -0.436929
0.382000 -0.394475
0.384000 -0.351631
0.386000 -0.308440
0.388000 -0.264945
0.390000 -0.221188
0.392000 -0.177213
0.394000 -0.133063
0.396000 -0.088782
0.398000 -0.044413
0.400000 -0.000000
0.402000 0.044413
0.404000 0.088782
0.406000 0.133063
0.408000 0.177213
0.410000 0.221188
0.412000 0.264945
0.414000 0.308440
0.416000 0.351631
0.418000 0.394475
0.420000 0.436929
0.422000 0.478953
0.424000 0.520503
0.426000 0.561540
0.428000 0.602023
0.430000 0.641912
0.432000 0.681167
0.434000 0.719750
0.436000 0.757623
0.438000 0.794748
0.440000 0.831089
0.442000 0.866609
0.444000 0.901275
0.446000 0.935050
0.448000 0.967903
0.450000 0.999801
0.452000 1.030712
0.454000 1.060606
0.456000 1.089454
0.458000 1.117226
0.460000 1.143895
0.462000 1.169436
0.464000 1.193823
0.466000 1.217031
0.468000 1.239039
0.470000 1.259823
0.472000 1.279364
0.474000 1.297643
0.476000 1.314641
0.478000 1.330342
0.480000 1.344730
0.482000 1.357790
0.484000 1.369511
0.486000 1.379880
0.488000 1.388888
0.490000 1.396525
0.492000 1.402783
0.494000 1.407657
0.496000 1.411142
0.498000 1.413235
0.500000 1.413933
0.502000 1.413235
0.504000 1.411142
0.506000 1.407657
0.508000 1.402783
0.510000 1.396525
0.512000 1.388888
0.514000 1.379880
0.516000 1.369511
