x |phi(x)|²
0.000000 0.000000
0.000900 0.000037
0.001800 0.000146
0.002700 0.000329
0.003600 0.000585
0.004500 0.000914
0.005400 0.001315
0.006300 0.001790
0.007200 0.002338
0.008100 0.002959
0.009000 0.003652
0.009900 0.004419
0.010800 0.005258
0.011700 0.006169
0.012600 0.007154
0.013500 0.008210
0.014400 0.009339
0.015300 0.010541
0.016200 0.011814
0.017100 0.013160
0.018000 0.014578
0.018900 0.016067
0.019800 0.017628
0.020700 0.019261
0.021600 0.020965
0.022500 0.022741
0.023400 0.024587
0.024300 0.026505
0.025200 0.028493
0.026100 0.030552
0.027000 0.032682
0.027900 0.034882
0.028800 0.037152
0.029700 0.039491
0.030600 0.041901
0.031500 0.044380
0.032400 0.046928
0.033300 0.049545
0.034200 0.052231
0.035100 0.054985
0.036000 0.057808
0.036900 0.060699
0.037800 0.063658
0.038700 0.066685
0.039600 0.069778
0.040500 0.072939
0.041400 0.076167
0.042300 0.079461
0.043200 0.082821
0.044100 0.086248
0.045000 0.089740
0.045900 0.093297
0.046800 0.096919
0.047700 0.100606
0.048600 0.104358
0.049500 0.108173
0.050400 0.112052
0.051300 0.115995
0.052200 0.120001
0.053100 0.124069
0.054000 0.128200
0.054900 0.132393
0.055800 0.136647
0.056700 0.140963
0.057600 0.145340
0.058500 0.149777
0.059400 0.154274
0.060300 0.158831
0.061200 0.163448
0.062100 0.168123
0.063000 0.172857
0.063900 0.177649
0.064800 0.182499
0.065700 0.187406
0.066600 0.192370
0.067500 0.197391
0.068400 0.202467
0.069300 0.207599
0.070200 0.212786
0.071100 0.218028
0.072000 0.223325
0.072900 0.228675
0.073800 0.234078
0.074700 0.239534
0.075600 0.245042
0.076500 0.250603
0.077400 0.256215
0.078300 0.261877
0.079200 0.267591
0.080100 0.273354
0.081000 0.279166
0.081900 0.285028
0.082800 0.290938
0.083700 0.296896
0.084600 0.302901
0.085500 0.308954
0.086400 0.315052
0.087300 0.321197
0.088200 0.327387
0.089100 0.333621
0.090000 0.339900
0.090900 0.346223
0.091800 0.352588
0.092700 0.358997
0.093600 0.365447
0.094500 0.371939
0.095400 0.378472
0.096300 0.385045
0.097200 0.391658
0.098100 0.398310
0.099000 0.405000
0.099900 0.411729
0.100800 0.418496
0.101700 0.425299
0.102600 0.432138
0.103500 0.439014
0.104400 0.445924
0.105300 0.452869
0.106200 0.459848
0.107100 0.466860
0.108000 0.473905
0.108900 0.480982
0.109800 0.488090
0.110700 0.495230
0.111600 0.502399
0.112500 0.509599
0.113400 0.516827
0.114300 0.524084
0.115200 0.531368
0.116100 0.538680
0.117000 0.546018
0.117900 0.553382
0.118800 0.560771
0.119700 0.568185
0.120600 0.575622
0.121500 0.583084
0.122400 0.590567
0.123300 0.598073
0.124200 0.605600
0.125100 0.613148
0.126000 0.620716
0.126900 0.628303
0.127800 0.635909
0.128700 0.643533
0.129600 0.651175
0.130500 0.658833
0.131400 0.666508
0.132300 0.674198
0.133200 0.681902
0.134100 0.689621
0.135000 0.697353
0.135900 0.705098
0.136800 0.712856
0.137700 0.720624
0.138600 0.728403
0.139500 0.736193
0.140400 0.743992
0.141300 0.751799
0.142200 0.759615
0.143100 0.767438
0.144000 0.775268
0.144900 0.783104
0.145800 0.790945
0.146700 0.798791
0.147600 0.806641
0.148500 0.814494
0.149400 0.822350
0.150300 0.830208
0.151200 0.838067
0.152100 0.845927
0.153000 0.853786
0.153900 0.861645
0.154800 0.869503
0.155700 0.877358
0.156600 0.885211
0.157500 0.893060
0.158400 0.900905
0.159300 0.908745
0.160200 0.916579
0.161100 0.924408
0.162000 0.932229
0.162900 0.940043
0.163800 0.947849
0.164700 0.955646
0.165600 0.963434
0.166500 0.971211
0.167400 0.978977
0.168300 0.986732
0.169200 0.994474
0.170100 1.002204
0.171000 1.009920
0.171900 1.017621
0.172800 1.025308
0.173700 1.032979
0.174600 1.040634
0.175500 1.048272
0.176400 1.055892
0.177300 1.063494
0.178200 1.071078
0.179100 1.078641
0.180000 1.086185
0.180900 1.093708
0.181800 1.101209
0.182700 1.108688
0.183600 1.116144
0.184500 1.123577
0.185400 1.130986
0.186300 1.138370
0.187200 1.145728
0.188100 1.153061
0.189000 1.160367
0.189900 1.167645
0.190800 1.174896
0.191700 1.182118
0.192600 1.189312
0.193500 1.196475
0.194400 1.203608
0.195300 1.210710
0.196200 1.217780
0.197100 1.224818
0.198000 1.231823
0.198900 1.238795
0.199800 1.245733
0.200700 1.252636
0.201600 1.259504
0.202500 1.266336
0.203400 1.273131
0.204300 1.279890
0.205200 1.286611
0.206100 1.293294
0.207000 1.299938
0.207900 1.306542
0.208800 1.313107
0.209700 1.319631
0.210600 1.326114
0.211500 1.332556
0.212400 1.338955
0.213300 1.345312
0.214200 1.351625
0.215100 1.357895
0.216000 1.364120
0.216900 1.370301
0.217800 1.376436
0.218700 1.382524
0.219600 1.388567
0.220500 1.394562
0.221400 1.400510
0.222300 1.406410
0.223200 1.412262
0.224100 1.418064
0.225000 1.423817
0.225900 1.429519
0.226800 1.435172
0.227700 1.440773
0.228600 1.446322
0.229500 1.451820
0.230400 1.457265
0.231300 1.462657
0.232200 1.467996
0.233100 1.473281
0.234000 1.478511
0.234900 1.483687
0.235800 1.488807
0.236700 1.493872
0.237600 1.498881
0.238500 1.503833
0.239400 1.508728
0.240300 1.513566
0.241200 1.518346
0.242100 1.523068
0.243000 1.527731
0.243900 1.532335
0.244800 1.536879
0.245700 1.541364
0.246600 1.545789
0.247500 1.550152
0.248400 1.554455
0.249300 1.558697
0.250200 1.562877
0.251100 1.566995
0.252000 1.571050
0.252900 1.575042
0.253800 1.578972
0.254700 1.582838
0.255600 1.586640
0.256500 1.590378
0.257400 1.594051
0.258300 1.597660
0.259200 1.601204
0.260100 1.604682
0.261000 1.608094
0.261900 1.611441
0.262800 1.614721
0.263700 1.617935
0.264600 1.621082
0.265500 1.624161
0.266400 1.627174
0.267300 1.630118
0.268200 1.632995
0.269100 1.635804
0.270000 1.638544
0.270900 1.641215
0.271800 1.643818
0.272700 1.646352
0.273600 1.648816
0.274500 1.651211
0.275400 1.653536
0.276300 1.655791
0.277200 1.657976
0.278100 1.660091
0.279000 1.662135
0.279900 1.664109
0.280800 1.666011
0.281700 1.667843
0.282600 1.669604
0.283500 1.671293
0.284400 1.672911
0.285300 1.674457
0.286200 1.675931
0.287100 1.677334
0.288000 1.678664
0.288900 1.679923
0.289800 1.681109
0.290700 1.682223
0.291600 1.683265
0.292500 1.684234
0.293400 1.685130
0.294300 1.685954
0.295200 1.686705
0.296100 1.687383
0.297000 1.687989
0.297900 1.688521
0.298800 1.688981
0.299700 1.689367
0.300600 1.689681
0.301500 1.689921
0.302400 1.690089
0.303300 1.690183
0.304200 1.690204
0.305100 1.690153
0.306000 1.690028
0.306900 1.689830
0.307800 1.689558
0.308700 1.689214
0.309600 1.688797
0.310500 1.688307
0.311400 1.687744
0.312300 1.687108
0.313200 1.686399
0.314100 1.685618
0.315000 1.684763
0.315900 1.683836
0.316800 1.682837
0.317700 1.681765
0.318600 1.680621
0.319500 1.679404
0.320400 1.678115
0.321300 1.676755
0.322200 1.675322
0.323100 1.673817
0.324000 1.672241
0.324900 1.670594
0.325800 1.668874
0.326700 1.667084
0.327600 1.665223
0.328500 1.663290
0.329400 1.661287
0.330300 1.659213
0.331200 1.657069
0.332100 1.654854
0.333000 1.652570
0.333900 1.650216
0.334800 1.647792
0.335700 1.645298
0.336600 1.642736
0.337500 1.640104
0.338400 1.637404
0.339300 1.634635
0.340200 1.631797
0.341100 1.628892
0.342000 1.625919
0.342900 1.622879
0.343800 1.619771
0.344700 1.616596
0.345600 1.613354
0.346500 1.610046
0.347400 1.606672
0.348300 1.603232
0.349200 1.599726
0.350100 1.596155
0.351000 1.592519
0.351900 1.588819
0.352800 1.585054
0.353700 1.581225
0.354600 1.577333
0.355500 1.573377
0.356400 1.569358
0.357300 1.565276
0.358200 1.561132
0.359100 1.556927
0.360000 1.552659
0.360900 1.548331
0.361800 1.543941
0.362700 1.539492
0.363600 1.534982
0.364500 1.530412
0.365400 1.525783
0.366300 1.521096
0.367200 1.516350
0.368100 1.511545
0.369000 1.506683
0.369900 1.501764
0.370800 1.496788
0.371700 1.491756
0.372600 1.486668
0.373500 1.481524
0.374400 1.476326
0.375300 1.471072
0.376200 1.465765
0.377100 1.460404
0.378000 1.454989
0.378900 1.449522
0.379800 1.444003
0.380700 1.438431
0.381600 1.432809
0.382500 1.427135
0.383400 1.421412
0.384300 1.415638
0.385200 1.409815
0.386100 1.403943
0.387000 1.398023
0.387900 1.392055
0.388800 1.386040
0.389700 1.379978
0.390600 1.373870
0.391500 1.367716
0.392400 1.361516
0.393300 1.355273
0.394200 1.348985
0.395100 1.342653
0.396000 1.336278
0.396900 1.329861
0.397800 1.323402
0.398700 1.316902
0.399600 1.310360
0.400500 1.303779
0.401400 1.297158
0.402300 1.290497
0.403200 1.283799
0.404100 1.277062
0.405000 1.270288
0.405900 1.263477
0.406800 1.256630
0.407700 1.249747
0.408600 1.242829
0.409500 1.235877
0.410400 1.228891
0.411300 1.221872
0.412200 1.214821
0.413100 1.207737
0.414000 1.200622
0.414900 1.193476
0.415800 1.186300
0.416700 1.179095
0.417600 1.171861
0.418500 1.164598
0.419400 1.157308
0.420300 1.149991
0.421200 1.142647
0.422100 1.135278
0.423000 1.127883
0.423900 1.120465
0.424800 1.113022
0.425700 1.105556
0.426600 1.098068
0.427500 1.090557
0.428400 1.083026
0.429300 1.075474
0.430200 1.067902
0.431100 1.060310
0.432000 1.052701
0.432900 1.045073
0.433800 1.037428
0.434700 1.029766
0.435600 1.022088
0.436500 1.014395
0.437400 1.006687
0.438300 0.998966
0.439200 0.991231
0.440100 0.983483
0.441000 0.975723
0.441900 0.967952
0.442800 0.960171
0.443700 0.952379
0.444600 0.944579
0.445500 0.936769
0.446400 0.928952
0.447300 0.921127
0.448200 0.913296
0.449100 0.905459
0.450000 0.897617
0.450000 0.897617
0.450200 0.895878
0.450400 0.894149
0.450600 0.892429
0.450800 0.890718
0.451000 0.889016
0.451200 0.887323
0.451400 0.885640
0.451600 0.883965
0.451800 0.882300
0.452000 0.880643
0.452200 0.878996
0.452400 0.877357
0.452600 0.875727
0.452800 0.874107
0.453000 0.872495
0.453200 0.870892
0.453400 0.869298
0.453600 0.867712
0.453800 0.866135
0.454000 0.864568
0.454200 0.863008
0.454400 0.861458
0.454600 0.859916
0.454800 0.858383
0.455000 0.856858
0.455200 0.855342
0.455400 0.853835
0.455600 0.852336
0.455800 0.850845
0.456000 0.849363
0.456200 0.847890
0.456400 0.846424
0.456600 0.844968
0.456800 0.843519
0.457000 0.842079
0.457200 0.840648
0.457400 0.839225
0.457600 0.837809
0.457800 0.836403
0.458000 0.835004
0.458200 0.833614
